id,breed,mean,std_dev,median,min_pixel,max_pixel,entropy,edge_density
475171ec5847e4df41847e295b8cfca2,toy_terrier,122.65872576177286,55.86638313141076,135.0,4.0,233.0,7.5491524,8.10560941828255
70c412a3ce894c617cbe707f24adbb82,irish_setter,147.83413170731708,60.89390057086073,151.0,0.0,255.0,7.775619,35.8629512195122
c13427fc3db9194dac02b1721bd10fe4,scottish_deerhound,112.81062176165803,43.3653080121847,106.0,0.0,255.0,7.3608603,44.42549222797928
00e9ed3fab1d2032603d1a90e557976f,english_setter,90.7935756207675,63.97735846178448,73.0,0.0,255.0,7.6728725,49.239751693002255
7ba8102be491368fa69e832b3f1cec42,great_pyrenees,140.58130666666668,49.55672291989542,162.0,0.0,201.0,6.5100765,6.24784
0d1d7bacd20ef921e9b3fce6d9b9f9f0,german_short-haired_pointer,142.51890494296578,58.67320956731554,141.0,0.0,255.0,7.749301,57.20920152091255
c8caed58369e7cbd1af1d57ed8499220,soft-coated_wheaten_terrier,104.69314545454546,61.884252691593716,94.0,0.0,255.0,7.805186,20.817272727272726
93da5672c36d4aa8c89b9a526f4a33fc,welsh_springer_spaniel,98.865264,54.049498951211106,98.0,0.0,255.0,7.6816463,75.0584
98e98242b7e57c718a0d1a643d40146d,boston_bull,75.7289537003281,54.07900784499931,63.0,0.0,249.0,7.4451547,22.095661684287276
2626c1fd506611569c5ac02967e783cf,chihuahua,93.95260660660661,60.720370795491185,83.0,0.0,255.0,7.766287,54.38009009009009
7ad0579c0bc5e3999f83b4a0eb581907,irish_water_spaniel,75.92424444444444,53.94049761837598,72.0,0.0,237.0,6.9864273,36.6095
f3b47556eea0151354f1ee1b40762fce,vizsla,98.13238626609441,73.56926759741975,103.0,0.0,255.0,7.6118555,36.95420600858369
a45fbf6af618701f6dc93eba5729689a,keeshond,129.20256533333333,50.21442063078823,132.0,0.0,255.0,7.625294,66.12592
59aa8c6049630b1361e8c9d64f2d2b2f,collie,108.50701648351648,84.92992674118743,79.0,0.0,255.0,7.1894646,17.331593406593406
86021dbc333b4e38bacdc24e3b5edea5,clumber,92.55002402402403,66.15801669694079,80.0,0.0,255.0,7.785436,72.34342342342342
8ece811c1c9f81737fc824116b70f51a,afghan_hound,131.27228282828284,56.43115537010435,138.0,0.0,255.0,7.703114,62.85363636363636
e8827c1b0698e56e60f735b142d69d18,yorkshire_terrier,163.18117570073073,60.359845627861006,173.0,13.0,255.0,7.096392,14.59526665939579
ff0def9dafea6e633d0d7249554fcb2c,dandie_dinmont,126.140216374269,48.92060730306351,117.0,0.0,255.0,7.572464,62.877631578947366
390c0430ed5d9f8a4e1ad583ad4425e1,english_setter,80.42606933333333,68.14009514416989,74.0,0.0,255.0,7.474172,60.7784
422bda2b195f032680d00e41c06b3e39,chesapeake_bay_retriever,93.15699827734711,47.209197852503564,86.0,0.0,209.0,7.237538,21.40374677002584
37b5d37070d1d054d1879e923775a1a9,bedlington_terrier,152.76993079584776,41.962334836148194,136.0,0.0,255.0,6.868019,19.805882352941175
868395c7a1c99a52a059b5c52824a8bc,pembroke,147.15545229244114,74.15265115620828,167.0,1.0,248.0,7.387132,17.853159851301115
9e2e3c2bbbb8cfa1baabd8ade4ed7c80,basenji,147.39490651558074,45.25957877555059,156.0,0.0,255.0,7.4266253,51.99110481586402
40d98d3d4d4cf67811f57b60f49fd301,border_terrier,105.52383720930233,35.808780589900365,114.0,0.0,189.0,6.978384,24.69518272425249
1ae8f1675d619a2414a2c67f6cceed76,papillon,117.3462942942943,34.31707875206678,113.0,0.0,255.0,6.885988,14.117657657657658
b4b57dfabb7b3c94ee7a081492c9345b,japanese_spaniel,124.09418032786886,68.25368069108104,92.0,31.0,255.0,7.1847153,19.612704918032787
aad0ede6b29383e88c475623f13864ba,australian_terrier,83.83111466666666,60.652205371370066,70.0,0.0,255.0,7.6187863,46.8248
878499737e214678c2947b8b4c82a6f7,boston_bull,122.38327751196172,51.69865492752526,133.0,0.0,255.0,7.550558,52.3238038277512
0755a940eac9a9b8cf0328b4be062096,boston_bull,45.997956427015254,50.48706471844854,27.0,0.0,255.0,6.882391,31.326666666666668
b047a2436ec6f415212fe82f4eb5bfa2,cocker_spaniel,119.64555678466077,59.30472449262152,109.0,3.0,255.0,7.672353,49.732208702064895
2a058ce4bb6189960e142d2ee9115ca8,afghan_hound,144.93844534412955,57.62731731481939,142.0,0.0,255.0,7.7422075,61.61192307692308
bf03d141ce99683a817108ea9cea17f7,bernese_mountain_dog,137.85109144542773,60.41989912043217,124.0,16.0,255.0,7.601228,25.775309734513275
118089e60763cbdba239cac747a54a6e,rottweiler,111.28772745490981,62.16720902728666,101.0,0.0,255.0,7.6765947,13.528797595190381
47d16e87d29ceec3a643f2fd58998d60,dandie_dinmont,127.63274666666666,51.96045013587246,134.0,0.0,255.0,7.567869,23.21656
c5e50854bf07fc3014c42c6a94a6af51,old_english_sheepdog,117.43385937900949,50.54624747454556,117.0,0.0,255.0,7.3491664,7.561008468052348
ad43804fc40b176421fea125c43aa056,bloodhound,105.93821021021022,54.50537953485045,95.0,0.0,249.0,7.4871,12.785225225225226
7453c0ad6556fbbc5443a046855bdd22,irish_setter,108.48201684210527,55.14928899456484,104.0,0.0,255.0,7.764217,73.76962105263158
8806c582754ce2fa439c410e1a2dd8ef,chow,124.39768,57.28938312303249,129.0,0.0,255.0,7.8002653,69.01456
c7b614f768b8f540ee3b77964f13852b,schipperke,92.37282962962963,56.914846252917144,86.0,0.0,255.0,7.7068152,52.496
bda8225dd3edf5e413f18e52fdcf5050,whippet,121.55438202247191,27.457979497793534,121.0,0.0,255.0,6.634417,34.06398876404494
429659b519b82425c43ab412b1f54bb0,keeshond,133.57981866666665,93.54005614519974,110.0,0.0,255.0,7.293769,23.65992
fb9cbd60c09b65c1032fc7dab93c8354,miniature_poodle,113.88205274725274,40.0354326648951,109.0,0.0,253.0,7.31444,50.613296703296704
256b9947f9be5c60b21fa969fa51fe2e,bernese_mountain_dog,128.95641066666667,66.48037740544213,139.0,0.0,255.0,7.420966,22.72696
89f6482c56119d9031029346746fc17a,kelpie,97.199664,41.99162736729515,99.0,0.0,255.0,7.3774796,81.3756
aee76a0c645d9e2d728ed283c142d04a,dhole,131.41726811594202,53.316720563696,126.0,0.0,255.0,7.6665754,24.731304347826086
37f351d4657a5d7420bb7b146a6672e0,scotch_terrier,130.30903490759755,80.52950583834208,129.0,0.0,255.0,7.9214964,60.58318275154004
f69078e04e3d5e8d7689820de78f69ff,ibizan_hound,97.93399361022364,50.036301507032086,87.0,3.0,255.0,7.331326,30.8797124600639
6597afaacc6527e63e4f21a552b74889,bedlington_terrier,93.85098255813953,58.5733682009723,78.0,0.0,255.0,7.6820006,19.173924418604653
ac63a26c445b5e7c92bbd09b1abe1673,border_terrier,127.6964371257485,68.32888491883966,118.0,0.0,255.0,7.7852664,65.89077844311377
13b1ca09a561661a8c1a506d49b8dd83,groenendael,159.0217375093214,73.11531959852012,168.0,0.0,255.0,7.1496925,9.467897091722595
92a8d330ae081b4514acb5c28fc3c2c2,bull_mastiff,80.72086666666667,56.4224798691286,78.0,0.0,255.0,7.230152,10.6048125
5f3dcd5e7d15f9d97e52f88563626111,english_springer,121.85145945945946,55.49677599571011,118.0,0.0,255.0,7.778628,71.62666666666667
2de892b241aeab50aad28c319eaebdbd,weimaraner,68.67757957957959,30.443932269656997,65.0,0.0,219.0,6.8818045,24.28855855855856
2c49abef4877c6ec4c194e25362b7375,great_dane,83.5820323488045,73.79790480164648,34.0,0.0,255.0,6.7237425,20.048523206751057
4d6c2eb3cf393af1601751a39647a78b,dandie_dinmont,111.4022021456804,41.82047831168061,112.0,0.0,255.0,7.314099,25.939158667419537
db84277a5adca6b4a349396f6070287f,gordon_setter,118.18877806117362,83.94331015165645,101.0,0.0,249.0,6.6006303,8.465088119408662
010e87fdf252645a827e37470e65e842,groenendael,135.72171191135735,79.27006729901353,144.0,0.0,255.0,7.470933,47.548670360110805
0e63b24bfd67158963830f64b5126aef,blenheim_spaniel,112.73356571428572,42.03799609434944,106.0,2.0,255.0,7.3688507,57.10834285714286
b1eb6462f0c3801b72d5b0246e9b748e,papillon,134.26337066666667,74.21916288864986,148.0,0.0,255.0,7.873324,35.92304
0ab12906ac3a87b531c574a15e79c58a,curly-coated_retriever,116.10342191666014,49.12205184299926,109.0,2.0,255.0,7.542009,8.017811833725519
d37e94590bdeb885b76c81518c8f6ea9,papillon,161.69649397590362,35.09396120430123,170.0,0.0,255.0,6.536962,6.534759036144578
4014d055cbed26cf6cf900a12cdad204,papillon,124.25617066666666,63.912638107989814,116.0,0.0,255.0,7.8032904,48.32896
fcc9c872e76f097b8fd02b56760e7d48,chesapeake_bay_retriever,145.0367175141243,44.30894301927291,141.0,0.0,255.0,7.4341116,81.21966101694915
95fddaeff7bee1d481cff457b5401c7f,great_pyrenees,91.09584431137725,86.28194425074307,56.0,0.0,255.0,7.3990083,28.431736526946107
cbaf3cc8691cac3a27cdce406a7c5dcb,border_terrier,100.22962683957061,60.51702756567535,97.0,0.0,255.0,7.5683117,31.68719228389249
ae2099cd620c148c433235f85019e151,leonberg,113.31230931663451,68.43065018394016,110.0,0.0,255.0,7.854928,47.80820621108967
0294b42910cb8a8d8340e45d8aaf2953,mexican_hairless,108.33014166568083,47.25722261570783,114.0,0.0,255.0,7.4056606,47.37319590677866
9f9c667f8eb625df654915087b9746ee,saluki,81.09948266666666,53.80516095938845,63.0,0.0,255.0,7.374735,22.14216
cd5c1f1ec93244a933f377ce42b1b3dd,african_hunting_dog,120.811664,53.48524194159641,131.0,0.0,255.0,7.6491985,48.06036
76772fb434731181bdd7c979f6f29bd3,cardigan,109.22023859649123,54.62589528155573,120.0,1.0,255.0,7.4298716,10.015684210526317
e15dfa0f3c2c47fec01f048312ca8bb7,kelpie,56.83114754098361,45.494035516049884,52.0,0.0,255.0,7.011126,16.804918032786887
601a6f7301fd425ff849e595f2cdcc28,border_collie,127.8463512195122,47.80447710284724,125.0,0.0,255.0,7.503839,77.74639024390244
36910e7d2411ea0595b590564cd1a473,vizsla,141.84525903614457,45.60089674721066,148.0,0.0,255.0,7.307159,8.046325301204819
